Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
09/01/2025,238,0,238,109,24,0,24,4,0,4,0,0,0,0,0,0,0.1176470588,0,0.1176470588
09/02/2025,183,0,183,81,15,0,15,1,0,1,0,0,0,0,0,0,0.08743169399,0,0.08743169399
09/03/2025,216,0,216,92,17,0,17,0,0,0,0,0,0,0,0,0,0.0787037037,0,0.0787037037
09/04/2025,114,0,114,55,2,0,2,2,0,2,0,0,0,0,0,0,0.0350877193,0,0.0350877193
09/05/2025,193,0,193,68,13,0,13,2,0,2,0,0,0,0,0,0,0.07772020725,0,0.07772020725
09/06/2025,150,0,150,67,17,0,17,2,0,2,0,0,0,0,0,0,0.1266666667,0,0.1266666667
09/07/2025,101,0,101,62,5,0,5,0,0,0,0,0,0,0,0,0,0.0495049505,0,0.0495049505
09/08/2025,119,0,119,53,23,0,23,0,0,0,0,0,0,0,0,0,0.1932773109,0,0.1932773109
09/09/2025,46,0,46,27,2,0,2,0,0,0,0,0,0,0,0,0,0.04347826087,0,0.04347826087
09/10/2025,102,0,102,25,23,0,23,-2,0,-2,0,0,0,0,0,0,0.2058823529,0,0.2058823529
09/11/2025,293,0,293,150,30,0,30,4,0,4,0,0,0,0,0,0,0.1160409556,0,0.1160409556
09/12/2025,100,0,100,42,2,0,2,2,0,2,0,0,0,0,0,0,0.04,0,0.04
09/13/2025,49,0,49,28,1,0,1,3,0,3,0,0,0,0,0,0,0.08163265306,0,0.08163265306
09/14/2025,36,0,36,18,3,0,3,0,0,0,0,0,0,0,0,0,0.08333333333,0,0.08333333333
09/15/2025,67,0,67,31,6,0,6,0,0,0,0,0,0,0,0,0,0.08955223881,0,0.08955223881
09/16/2025,42,0,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/17/2025,79,0,79,17,3,0,3,-7,0,-7,0,0,0,0,0,0,-0.05063291139,0,-0.05063291139
09/18/2025,1439,0,1439,637,458,0,458,41,0,41,0,0,0,1,0,1,0.3474635163,0,0.3474635163
09/19/2025,3489,0,3489,1304,560,0,560,58,0,58,0,0,0,0,0,0,0.1771281169,0,0.1771281169
09/20/2025,9364,0,9364,1986,2627,0,2627,216,0,216,1,0,1,6,0,6,0.3043571123,0,0.3043571123
09/21/2025,2942,0,2942,1041,703,0,703,40,0,40,2,0,2,0,0,0,0.2532290959,0,0.2532290959
09/22/2025,3381,0,3381,1180,1056,0,1056,71,0,71,1,0,1,1,0,1,0.3339248743,0,0.3339248743
09/23/2025,1976,0,1976,716,643,0,643,32,0,32,0,0,0,2,0,2,0.342611336,0,0.342611336
09/24/2025,2193,0,2193,943,245,0,245,52,0,52,0,0,0,0,0,0,0.1354309166,0,0.1354309166
09/25/2025,1684,0,1684,687,284,0,284,25,0,25,1,0,1,0,0,0,0.1840855107,0,0.1840855107
09/26/2025,1338,0,1338,549,229,0,229,40,0,40,0,0,0,0,0,0,0.2010463378,0,0.2010463378
09/27/2025,613,0,613,270,91,0,91,6,0,6,0,0,0,0,0,0,0.1582381729,0,0.1582381729
09/28/2025,594,0,594,268,58,0,58,9,0,9,0,0,0,0,0,0,0.1127946128,0,0.1127946128
09/29/2025,886,0,886,466,78,0,78,8,0,8,0,0,0,1,0,1,0.09819413093,0,0.09819413093
09/30/2025,973,0,973,431,179,0,179,11,0,11,0,0,0,0,0,0,0.1952723535,0,0.1952723535
10/01/2025,469,0,469,258,123,0,123,4,0,4,0,0,0,0,0,0,0.2707889126,0,0.2707889126
10/02/2025,468,0,468,219,65,0,65,4,0,4,0,0,0,0,0,0,0.1474358974,0,0.1474358974
10/03/2025,1995,0,1995,1045,146,0,146,17,0,17,2,0,2,0,0,0,0.08270676692,0,0.08270676692
10/04/2025,1562,0,1562,839,112,0,112,16,0,16,1,0,1,0,0,0,0.08258642766,0,0.08258642766
10/05/2025,672,0,672,292,44,0,44,7,0,7,0,0,0,0,0,0,0.07589285714,0,0.07589285714
10/06/2025,2204,0,2204,874,218,0,218,28,0,28,0,0,0,0,0,0,0.111615245,0,0.111615245
10/07/2025,2780,0,2780,1181,268,0,268,29,0,29,0,0,0,0,0,0,0.1068345324,0,0.1068345324
10/08/2025,2028,0,2028,839,163,0,163,20,0,20,0,0,0,0,0,0,0.09023668639,0,0.09023668639
10/09/2025,1169,0,1169,466,248,0,248,5,0,5,0,0,0,0,0,0,0.2164242943,0,0.2164242943
