Location,Total views
"Arba Minch, Ethiopia",13
"Jimma, Ethiopia",10
"Dessie, Ethiopia",14
New York City Metropolitan Area,16
"Accra, Ghana",10
"Greater Munich Metropolitan Area, Germany",15
"Greater Chennai Area, India",22
San Francisco Bay Area,36
"Hawassa, Ethiopia",85
Washington DC-Baltimore Area,19
"Axum, Ethiopia",52
"Gonder, Ethiopia",30
"Shire, Ethiopia",32
"Adis Zemen, Ethiopia",27
"Greater Delhi Area, India",11
Las Vegas Metropolitan Area,12
"Kombolcha, Ethiopia",22
"Mek'elē, Ethiopia",94
"London Area, United Kingdom, United Kingdom",14
"Greater Stockholm Metropolitan Area, Sweden",15
"Ali Ethiopia, Ethiopia",102
"Addis Ababa, Ethiopia",1260
"Adama, Ethiopia",41
"Bahir Dar City, Amhara, Ethiopia, Ethiopia",111
Greater Seattle Area,32
